"pos_0","pos_1","node","station","inflow_1","inflow_2","inflow_3","inflow_4","inflow_5","inflow_6","inflow_7","inflow_8","inflow_9","inflow_10","inflow_11","inflow_12","inflow_13","inflow_14","inflow_15","inflow_16","inflow_17","inflow_18","inflow_19","inflow_20",
778469,7355495,54,"GLT",-23222334,0,-447016537,0,0,-8981913,0,0,0,3931446,144022,28948,-253390,0,0,0,0,104796,46255198,5661,
774653,7364056,55,"LKÄ",0,0,229499780,-72145,89,0,6368880,-4791044,-327386,-5732840,0,0,115282,1339007,0,0,0,-162289,0,16281,
768511,7373483,56,"NB",22691692,0,293131856,0,-3,0,-1006013,-1157646,701890,0,0,119077,8075,0,0,147500,0,58982,23994507,-98482,
763446,7378435,57,"TET",0,22209763,1208744219,-528763,0,0,0,-629930,-579912,-8638124,-136438,0,137797,0,0,355907,0,-59518,0,0,
761524,7386195,58,"MK",0,-25697965,-971014669,0,0,30446085,0,6023357,197505,0,116057,0,0,511834,0,-997939,0,-22410,-9580480,14721,
766860,7396027,59,"PC",0,-17376575,-347839557,0,-7,0,-1500432,-2684110,0,0,25594,0,21189,32331,0,-3893218,0,-103269,-13436905,0,
764359,7404992,60,"KVA",-13864031,-7263153,0,254610,-5,0,0,-1045219,1258417,2326741,-35511,658905,6973,-3006854,0,3257605,0,96339,-23437388,11075,
761730,7416490,61,"NTV",0,-10801318,0,0,-5,0,0,0,1059839,0,50630,2465862,-465364,1668965,0,0,0,0,-9306088,6520,
758491,7424764,62,"KLV",9738040,0,0,0,-15,0,4781057,1442613,-102754,-2932582,0,0,0,-2355661,0,0,0,0,0,0,
754706,7430309,63,"NRT",0,-4280267,0,0,-6,-13836003,-2835941,0,925751,0,0,0,0,2042055,0,-2415784,0,-22476,-25540244,5143,
749909,7439768,64,"RPS",-8689531,-5203070,14556789,222676,0,-30498718,-816023,10408361,0,8066558,-56287,0,137418,-1899500,0,0,0,-34167,221481,0,
748528,7446533,65,"HRT",8867304,-8654283,113584706,-324842,0,-14815830,-7902652,-1345768,-286647,0,10157,399684,-809,-1102105,0,0,0,0,0,32812,
749007,7449300,66,"KAA",0,-10751027,0,0,-9,0,-3640557,0,749490,2242161,12074,0,0,0,0,1987969,0,0,30865803,5186,
808537,7311574,67,"SÄN",-289491989,0,0,0,0,-10002470,0,0,104249,4727764,2834017,0,-39178,1636687,0,0,0,1466894,0,-6555,
809485,7310118,68,"SVT",0,10669495,0,-4289494,0,0,-3466115,0,499265,0,0,0,1398085,0,0,-2076081,0,0,42805968,-137051,
814762,7303444,69,"SBY",0,22521635,0,0,-7,0,0,0,245405,0,0,0,80620,0,0,1936958,0,-516563,74657374,239725,
818281,7301076,70,"SUS",0,8001054,-354214316,0,0,0,6161098,2404827,158853,0,0,0,-1611969,0,0,0,0,-446661,35394625,390354,
822832,7297961,71,"GST",-6328560,-4180944,0,0,0,-2629071,0,0,0,0,0,0,-2022376,-688601,0,0,0,-10427,-49885738,-361823,
827456,7295073,72,"NVN",191385841,-5787291,0,0,0,1339589,-6640522,0,133572,0,-2834017,0,2236260,0,0,0,0,-514191,0,76301,
803308,7316533,73,"BDS",-25806008,0,46082261,1397744,-39,29846984,0,506693,1976660,0,-291979,-7162174,559339,-61767,0,0,0,-212413,11686021,82066,
806029,7317197,74,"BDN",-51378466,-3039023,0,-6024030,0,-60826627,7464896,0,695505,0,-355734,2540965,0,1640148,0,0,0,-197730,-129191547,0,
805636,7320994,75,"BUD",-16632869,-2869684,0,1198480,41,0,520890,913509,257031,0,-386583,2264198,0,0,0,0,0,-102967,-38342219,10657,
830207,7292481,76,"LE",102935306,11830192,0,7455023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-225832,
773852,7296330,77,"NYF",25285959,0,0,0,-64,-27057739,9559098,0,303057,0,-3016869,0,204824,19369934,0,16878275,0,-219177,-39876162,-82533,
739417,7194482,78,"BST",-19709287,0,0,0,-217,9768488,0,1898157,2159427,-112420534,0,672434,0,1359899,0,0,0,297001,54614666,0,
736257,7206968,79,"KRB",26126519,0,0,0,-30,0,5053806,0,0,-18702271,185577,934917,176467,-2304870,0,0,0,0,-22660584,66531,
736945,7215890,80,"LDL",0,0,73126832,0,-56,0,0,1420841,1953170,0,110258,1825725,0,0,0,-9932783,0,0,-14563258,47644,
736499,7223817,81,"JRN",-12142279,0,0,0,0,0,0,3313888,0,0,-251816,2690143,-22809,2764690,0,0,0,-83690,25590983,22645,
737039,7235123,82,"STO",-10837833,0,-127335715,0,-56,-8614614,0,6233864,-4308833,17993241,0,0,124154,0,0,-7182379,0,-72535,27769368,-98757,
737978,7243950,83,"THM",0,0,0,0,0,18967222,0,0,0,0,-405740,991812,-11602,2524821,0,0,0,0,-6445990,32997,
742990,7251890,84,"MHN",0,0,399214422,1605787,-6,-62421146,0,0,1627172,0,330506,0,72134,-1499800,0,2653518,0,18232,23812625,15451,
747853,7261014,85,"LTK",46460889,0,-6963286,0,270,0,0,0,-1864431,0,143043,6548190,158281,-11472636,0,0,0,257399,0,-51935,
751479,7269103,86,"SBI",-35401632,0,-47708694,0,-19,4332928,-1850668,0,-1817579,25064129,206290,1551973,132396,-580453,0,2314471,0,420094,0,0,
753975,7274801,87,"KLR",29440277,0,-38667835,861396,120,13744048,0,4980433,0,0,0,0,263011,0,0,11163984,0,0,-28125735,0,
759099,7284504,88,"STS",42628303,0,0,879681,-83,0,0,-12990062,577097,-14005327,-20964,304843,-240824,-458828,0,3044020,0,-55209,-15588159,82478,
763909,7291725,89,"JNT",-82873993,0,0,0,0,27026448,0,1044435,-693922,-7806666,-569829,0,0,-33366,0,2754330,0,0,0,-68852,
769352,7295111,90,"KTÄ",66007221,0,-69791700,0,73,-297373,-7183834,0,2185398,0,121086,0,-58970,-1855,0,-5570377,0,0,-16170097,32603,
775107,7297175,91,"ÄY",0,0,0,0,-13,40672801,1258597,0,-2260579,18621442,291145,2065426,0,0,0,11998038,0,127329,22608864,0,
779976,7302528,92,"LRG",0,0,-145069831,-669238,-6,-7694495,-9384773,-1720087,0,0,7346,190366,0,28086523,0,-11833576,0,-375022,0,18230,
784589,7309851,93,"BRG",-28414279,0,4466409,0,0,0,0,0,0,-1245302,1271075,0,0,0,0,-22203633,0,0,-9795822,-7085,
791976,7316923,94,"DBN",0,0,0,0,25,4275988,0,0,118378,0,-831605,0,0,0,0,-3896879,0,274405,-28687143,-256419,
798077,7315754,95,"HT",0,0,0,0,-240,0,-5526517,1363840,812085,-32521815,0,-6527413,-60042,0,0,0,0,53578,39048811,78354,
730993,7104407,96,"TVB",31925737,0,0,0,-53,25772305,0,0,1965827,16190064,109329,0,91755,-1807558,0,0,0,369274,3478045,0,
727820,7116492,97,"TVÄ",18859167,0,0,-1576472,-53,0,11484104,0,80376,33240185,581645,-4890157,14295,0,0,-16090221,0,-232110,37582306,0,
728727,7128236,98,"VDN",-2445665,0,0,-2572280,-24,18527102,-1529123,2299494,0,6765794,185835,0,173417,0,0,0,0,0,47290075,-70963,
723637,7139196,99,"HLS",-28752899,0,-215973103,0,-42,0,-7882534,2109128,0,-16500376,90221,0,-171135,-4504490,0,10969605,0,-460971,-46607154,78086,
724398,7150980,100,"YÖ",-74774906,0,140361645,0,0,0,0,-4554857,1279086,0,0,-4770187,-56456,-2230015,0,0,0,0,37597388,55048,
730899,7161058,101,"ETK",-19590804,0,0,0,0,0,0,1640868,-1019279,-3702727,144813,2018427,0,0,0,3486024,0,0,37966202,24637,
736093,7168498,102,"LUÄ",-22768608,0,-185926917,-625787,103,8621841,-822560,1205214,941472,5583946,0,0,0,-77670,0,-1887185,0,48213,26907839,-45659,
737789,7174964,103,"ÅST",44145265,0,0,225258,-21,9425718,3713251,0,-1138137,0,0,-4255954,0,-3016003,0,0,0,0,25182858,-23100,
739888,7183364,104,"KAÄ",-28560322,0,-175104286,1873562,-24,-14583115,0,-7595991,-1978686,0,0,0,70337,0,0,0,0,0,-31545010,32667,
669123,7038615,105,"GE",-19611338,0,0,0,0,-1411742,3344268,1920480,-1693621,0,273359,861917,97515,2066071,0,0,0,0,0,-26485,
672160,7046809,106,"BJÖ",0,0,129271438,556523,17,0,0,-1470664,630534,0,-24682,2358584,-49638,-3496894,0,0,0,0,0,-48265,
678675,7052051,107,"BJ",45860215,0,0,-1067539,25,-2694002,2250982,1363077,-942810,0,-319767,1711884,187755,6005161,0,0,0,-56548,-6843804,11632,
682899,7061453,108,"LMN",0,0,86355351,0,0,-15000946,0,0,0,0,-30231,1034968,110287,1641378,0,651942,0,32105,0,0,
684688,7063724,109,"LNV",-43593788,0,-106604650,-63121,-52,0,0,2365631,1091766,42505176,274025,0,187790,-2824822,0,-4563409,0,-103483,0,-32762,
691068,7068409,110,"THÖ",-18054305,0,46162075,325975,-33,0,3809480,1433847,4985418,-8036832,-194740,0,88856,2893684,0,1142466,0,0,-9053585,-9323,
697097,7077439,111,"NRS",-4818910,0,0,0,-30,0,2017629,-1141752,0,0,-246087,0,110789,0,0,0,0,0,-5039237,0,
706196,7079794,112,"BRS",24962865,0,0,314355,-6,0,7496977,0,0,0,0,1165955,0,-4438333,0,0,0,0,-15114028,0,
708797,7078696,113,"OXM",-24410444,0,21728716,0,-32,0,0,0,1159957,0,200590,1637258,0,0,0,0,0,-24755,19017278,0,
712568,7078573,114,"NYÅ",0,0,0,0,-1,-922170,0,-709889,-79801,-1006897,22814,266741,0,651961,0,0,0,0,0,0,
713887,7081292,115,"ÖÄ",15687847,0,66479807,-392416,-42,-14508636,0,0,-701052,32165608,159262,0,-29711,-171605,0,1328594,0,63418,-75679858,0,
718259,7078813,116,"HBÄ",-14905934,0,-22698154,0,7,0,-4644595,1758136,-1337520,-11326221,60033,2030950,-70919,-1818440,0,2333766,0,-16727,0,52233,
721940,7082048,117,"HSÖ",0,0,-181110124,0,0,0,5570573,0,0,0,278663,1894789,0,0,0,0,0,35228,2121316,-18089,
726168,7090909,118,"DGM",-19977629,0,0,0,-21,-7652005,-1944060,5271660,688664,0,61467,0,-225685,-2396284,0,0,0,87161,-20135616,35996,
609827,7010999,119,"ÖSÅ",-40953872,0,60907669,519239,0,16396706,11614509,-1384355,-989775,0,0,0,206108,-2770778,0,14170380,0,0,0,30437,
609386,7016856,120,"FSM",0,0,77086868,-371223,16,0,3568420,0,-175731,-7364068,0,-1639066,72176,-1244628,0,0,0,103227,-25182513,0,
610864,7021703,121,"SLJ",17136026,0,42687113,532287,57,-11041075,6947351,-4736571,471734,0,124851,-1124182,-357814,0,0,0,0,0,0,24835,
615159,7023835,122,"BAÖ",-9618739,0,0,0,-25,9193285,764520,-3025147,0,-5055222,62971,0,102962,0,0,0,0,55147,-15612702,-36290,
619622,7025206,123,"GNÅ",0,0,0,0,-69,0,-3783791,0,1305357,-4081586,-300751,2816030,231298,-1440380,0,0,0,26382,31504749,66643,
622372,7028991,124,"SOM",-37128035,0,0,0,0,8975920,1442998,1919544,0,34002440,45871,5770093,-239459,-2403510,0,3415996,0,78361,36734900,-21316,
625607,7031250,125,"AP",0,0,0,-635789,-16,0,0,1418443,-2836852,-15317201,60145,0,0,-787624,0,2457614,0,-326695,16882131,0,
632318,7031922,126,"HOÅ",-2662806,0,0,-885882,-8,0,0,-8933271,718963,0,76002,-3211845,-150523,0,0,0,0,0,0,-24202,
642893,7031720,127,"SOP",0,0,45603959,385530,0,0,2617666,0,0,0,611020,870009,0,3534322,0,0,0,-5047,-21019656,0,
648616,7036003,128,"KÄV",-9263928,0,0,405124,0,9067056,2598671,-1732206,860414,0,-40989,0,-295013,-777036,0,-3797785,0,-96914,-21982898,0,
656867,7036977,129,"ANÖ",-5897123,0,158734165,281211,-45,0,-5807493,-3080186,-1866153,0,0,685552,0,0,0,0,0,0,5190125,-29847,
664981,7037563,130,"MSL",23807794,0,0,563955,-86,-14506311,-3524269,0,0,-4580206,-103582,1358993,169738,0,0,3137812,0,27684,-4930860,0,
849336,7341843,131,"BET",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
856109,7334546,132,"KOJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
864243,7331078,133,"RAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
872545,7328236,134,"KLX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
875190,7326436,135,"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
885145,7331428,136,"SET",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
897129,7332022,137,"VSK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
907178,7331954,138,"KEI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
916071,7331072,139,"HP",0,0,-1910448,0,-26,24630206,0,0,0,0,0,345280,0,0,0,0,0,-166567,8182365,-41328,
870403,7350846,140,"VTV",0,0,0,-184737,-34,0,-2984617,0,155868,0,69780,0,0,0,0,-2634835,0,44783,0,-50472,
884931,7349816,141,"LPK",0,0,0,-757726,-23,-368850,-372092,0,0,0,0,0,0,-1711328,0,0,0,64586,-8310609,0,
904687,7353164,142,"KRI",0,0,-1885323,0,75,0,-2864684,0,0,0,-516347,0,0,0,0,0,0,0,-14270726,0,
808684,7332798,143,"HUÖ",0,0,0,-1316940,-27,0,0,0,0,0,337785,0,0,-2166000,0,1612204,0,0,-9464879,0,
816893,7340768,144,"NML",0,0,0,1589580,0,-13940598,970585,0,1973778,9826158,-137013,0,0,348205,0,-1781445,0,30630,0,55065,
823475,7342347,145,"BRÅ",32100406,0,-2666698,480953,161,0,3203093,0,-1139828,0,0,0,20928,-803930,0,3952169,0,0,30080354,76301,
832259,7344670,146,"GEN",0,0,0,0,-55,-370341,0,0,-601325,0,332613,241388,0,-936263,0,-2473431,0,0,22002718,36735,
843218,7347669,147,"SBÄ",0,0,0,387890,-58,-11189759,-3678256,0,0,0,167212,0,0,403602,0,0,0,-113201,-52264901,0,
847600,7349061,148,"MJV",-8673347,0,0,0,-49,0,7050225,0,-2295912,0,59163,0,-18116,2579110,0,2937542,0,158764,13913380,0,
732865,7095690,149,"VNS",0,0,0,0,20,0,-20468806,0,499825,0,-723907,0,-92155,0,0,0,0,-961602,-307637408,-58352,
732335,7097796,150,"VÄN",-8562858,0,-207883392,0,-37,6362790,-350701,-12428047,-2182074,0,39189,7512017,0,-606369,0,4602159,0,0,0,46578,
787450,7277419,151,"AMK",125587370,0,0,0,0,-122509200,0,0,0,0,-1485898,0,-480243,-31048235,0,0,0,0,-1966150,0,
796948,7262126,152,"ÖBYI",-204765480,0,0,0,0,83614019,0,0,0,0,0,-3892077,-1562223,-34502528,0,1185909,0,161083,0,0,
800965,7259346,153,"PTÅ",79178110,0,0,462113,0,38895181,-4069409,0,0,0,2930042,-829767,1562223,49317287,0,0,0,0,-3409230,0,
753349,7194321,154,"FFS",0,0,0,0,18,0,0,0,-1214528,0,-209931,0,0,0,0,0,0,245925,-59033723,0,
779862,7194776,155,"KFS",0,0,-30364929,-605573,231,34658792,-3019613,1275337,430545,34559025,0,0,0,0,0,0,0,-32069,0,71099,
783111,7194307,156,"SKL",11444986,0,0,0,0,0,0,0,0,-35041693,130124,0,0,0,0,0,0,0,29705563,33106,
785813,7193591,157,"HSB",0,0,0,0,0,0,0,0,568601,0,0,0,0,0,0,0,0,-84445,0,-106702,
790236,7190997,158,"GSE",-14470690,0,0,1583916,15,-6432523,0,856165,0,-2596284,431826,0,0,753455,0,0,0,35276,0,7010,
793761,7190280,159,"UVN",50273133,0,0,-978343,0,7076986,0,0,0,35041693,113568,0,0,0,0,0,0,0,9788634,29736,
796728,7188191,160,"SÖV",5492615,0,0,0,-129,0,0,537372,0,5343310,33609,0,0,0,0,-1942124,0,0,-3718879,11193,
797295,7187656,161,"SKH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
798352,7186780,162,"RSÄ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
736173,7096492,163,"VBY",11332749,0,0,-350640,0,-11339134,10122035,0,0,0,37523,0,0,5867,0,0,0,0,0,-167953,
739353,7096259,164,"BTB",8604049,0,0,4087981,0,0,13315006,0,0,0,869547,0,128789,-2720890,0,-3690475,0,267983,0,164090,
748187,7093557,165,"BRD",-12148392,0,274222205,0,-180,0,-61658956,163070,-31474,0,368735,24726600,-62121,-76360,0,0,0,0,19513449,-77718,
750503,7092555,166,"BRDB",5187228,0,0,2122171,0,0,56181933,333900,0,-631908,0,-24720771,0,0,0,96227,0,0,0,-191624,
752596,7091179,167,"KLBN",0,0,0,17582,388,20092661,0,0,-29609,-55876,-2463,0,181,17851,0,0,0,0,136253013,156016,
757378,7090273,168,"UÅGB",-7213303,0,-116835772,-5501895,-108,20890597,-3586193,0,-83596,0,0,3928236,0,0,0,0,0,2725,145158650,81402,
758960,7088780,169,"UÅ",-399762,0,0,1573982,-133,-9219879,2945584,0,-12408,0,240587,1863,-648,10615796,0,0,0,0,-18305657,-53605,
760375,7087563,170,"UÅÖ",-846975,0,-19709699,0,0,0,2526474,0,-94833,-19684159,0,55123,-16106,0,0,0,0,-2292,0,0,
761757,7084219,171,"GIM",354090,0,0,-1126004,0,0,2138406,2670408,0,0,-1116507,4972,0,0,0,6103525,0,0,-14481882,73807,
765105,7075677,172,"HOD",-12398363,0,0,-2287387,-14,0,0,4494584,0,0,0,0,0,-7829685,0,0,0,0,22925835,0,
675810,7029980,173,"ÖAL",0,0,0,0,0,0,0,0,0,-24809133,-509619,0,0,0,0,0,0,0,0,0,
694877,7276822,174,"NORL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
692122,7280435,175,"AJR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
707720,7158550,176,"ÅM",0,0,0,1269448,0,0,-3937754,0,467961,0,0,0,140716,0,0,-5712916,0,0,0,41994,
691781,7165289,177,"AN",0,0,78372698,0,117,0,-2232183,1916447,0,0,46833,0,-171701,0,0,0,0,0,0,-29045,
679821,7168126,178,"LYT",0,0,-57286935,0,0,0,0,0,719390,24712599,-150297,-7420925,152979,0,0,0,0,0,8726355,0,
678416,7168308,179,"LYG",0,0,0,0,0,0,-2359409,0,-864442,-15720771,-259014,3593685,-213514,0,0,0,0,0,0,34307,
677053,7167873,180,"LSP",0,0,131133402,780556,38,0,0,1301959,-1187351,0,0,0,0,0,0,3785556,0,0,0,-30950,
675551,7168317,181,"LY",-38495409,0,0,843043,0,0,-2041005,1713122,-1109336,0,0,0,0,0,0,0,0,296894,0,0,
650338,7184720,182,"KAT",7100032,0,-78372698,-1498467,0,0,0,0,0,0,0,2079538,0,0,0,0,0,0,9984221,0,
626101,7211380,183,"GUN",24876157,0,0,0,0,0,0,0,4340769,0,0,-3892077,0,0,0,2582613,0,60037,0,0,
593734,7035944,184,"ÅD",19262086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
590118,7048373,185,"BTÅ",-5107642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1562898,0,0,0,0,
586190,7061806,186,"TSG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4426496,0,0,0,0,
570269,7076329,187,"BE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3405782,0,0,0,0,
566156,7088933,188,"ROS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
690265,7285820,189,"NKR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
701698,7313920,190,"MOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
697836,7325388,191,"PÄB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
705093,7332292,192,"VAJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
724874,7345902,193,"KÅB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
722738,7348766,194,"KIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
710006,7371304,195,"MTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
717927,7390164,196,"GPC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
